,出演時間,バンド名,コピーバンド元
1,10:30-10:50,おうちすっきー,チャットモンチー
2,10:55-11:15,今夜星を見に行き隊,アニソン
3,11:20-11:40,IKURA　NO　SASHIMI,SEKAI NO OWARI
4,11:45-12:05,だんご三姉妹,GO!GO!7188
5,12:10-12:30,ぼべべ,Base Ball Bear
6,12:35-12:55,おいしいなぁ蜜柑,椎名林檎
,,　,
,12:55-14:00,(休憩),
,,　,
7,14:00-14:20,スーパーウルトラハイパーミラくるくるり,くるり
8,14:25-14:45,街中油淋鶏,チャットモンチー
9,14:50-15:10,HOKKKKKE,SHISHAMO
10,15:15-15:35,[Alex&lest],[Alexandros]
11,15:40-16:05,つくばユニゾン村,UNISON SQUARE GARDEN
12,16:10-16:30,デンジャラス謝肉祭,THE BLUE HEARTS
,,　,
,16:30,(終了),